,Address,Beds,Phone,Price,Title
56,"900 S Figueroa St, Los Angeles, CA 90015",Studio - 3 Bed,844-550-8619,"$2,740 - 7,740",APEX. The One.
57,"10000 Santa Monica Blvd, Los Angeles, CA 90067",1-4 Bed,844-635-2358,"$9,200 - 20,000",Ten Thousand
58,"5550 Wilshire Blvd, Los Angeles, CA 90036",1-3 Bed,866-677-1435,"$3,355 - 7,640",5550 Wilshire at Miracle Mile by Windsor
59,"936 S Olive St, Los Angeles, CA 90015",Studio - 2 Bed,213-908-1786,"$2,250 - 5,675",Olympic by Windsor
60,"1555 N Vine St, Los Angeles, CA 90028",Studio - 2 Bed,323-870-2146,"$2,015 - 5,330",sunset + vine
61,"1759 Beloit Ave, Los Angeles, CA 90025",Studio - 1 Bed,844-856-6470,"$2,995 - 4,995",NMS 1759
62,"3644-3658 Overland Ave, Los Angeles, CA 90034",Studio - 2 Bed,844-307-2073,"$2,145 - 4,310",The Roy
63,"7077 Alvern St, Los Angeles, CA 90045",1-2 Bed,866-935-9714,"$1,965 - 4,330",The Heights
64,"1120 W 6th St, Los Angeles, CA 90017",Studio - 3 Bed,844-329-8256,"$2,250 - 6,045",Sofia Los Angeles
65,"1111 Wilshire Blvd, Los Angeles, CA 90017",Studio - 3 Bed,844-626-3488,"$2,145 - 5,340",1111 Wilshire
66,"222 S Main St, Los Angeles, CA 90012",Studio - 3 Bed,844-424-4050,"$1,960 - 4,280",Stoa
67,"700 W 9th St, Los Angeles, CA 90015",Studio - 3 Bed,805-221-8797,"$2,395 - 11,125",Alina
68,"10700 Wilshire Blvd, Los Angeles, CA 90024",1-2 Bed,844-840-8937,"$5,995 - 13,995",Wilshire Victoria
69,"417 S Kenmore Ave, Los Angeles, CA 90020",Studio,844-295-3625,"$1,650 - 2,400",Kenmore Commons
70,"349 S La Fayette Park Pl, Los Angeles, CA 90057",1 Bed,844-409-2531,"$2,000",LP by CLG
71,"888 Hilgard Ave, Los Angeles, CA 90024",1-2 Bed,424-320-3970,"$3,110 - 8,300",888 Hilgard Furnished Living
72,"2867 Sunset Pl, Los Angeles, CA 90005",Studio - 2 Bed,844-258-4459,"$2,600 - 5,550",The KODO Furnished Living
73,"710 N El Centro Ave, Los Angeles, CA 90038",2 Bed,844-599-1679,"$3,295 - 4,769",The LC by CLG
74,"3100 Riverside Dr, Los Angeles, CA 90027",1-2 Bed,864-349-5996,"$1,985 - 2,715",eaves Los Feliz
75,"236 S Los Angeles St, Los Angeles, CA 90012",Studio - 3 Bed,855-861-8271,"$2,620 - 4,653",AVA Little Tokyo
76,"5535 Westlawn Ave, Los Angeles, CA 90066",1-3 Bed,855-625-9411,"$2,575 - 3,535",Avalon Playa Vista
77,"4091 Redwood Ave, Los Angeles, CA 90066",1 Bed,844-779-1057,"$3,300",R3 Lofts by CLG
78,"217 E 8th St, Los Angeles, CA 90014",Studio,213-514-8892,"$2,120",Garment Lofts
79,"7928 Hollywood Blvd, Los Angeles, CA 90046",2 Bed,844-286-9953,"$4,250",The HW by CLG
80,"888 S Olive St, Los Angeles, CA 90014",1-2 Bed,844-790-4921,"$5,170 - 6,150",LEVEL Furnished Living
81,"756 S Broadway, Los Angeles, CA 90014",Studio - 2 Bed,424-244-3137,"$1,920 - 3,950",The Chapman Flats
82,"1168 S Barrington Ave, Los Angeles, CA 90049",1-3 Bed,844-816-0742,"$4,199 - 5,999",The BW by CLG
83,"1306 N Orange Dr, Los Angeles, CA 90028",2-3 Bed,424-296-1655,"$3,525 - 4,650",Orange 12
84,"1001 S Olive St, Los Angeles, CA 90015",Studio - 2 Bed,844-462-7968,"$1,950 - 4,000",Oakwood - Olympic & Olive
85,"369 Columbia Ave, Los Angeles, CA 90017",1 Bed,844-639-1618,"$1,645 - 1,720",Tuscani Villas
86,"3640 Wilshire Blvd, Los Angeles, CA 90010",Studio - 2 Bed,844-816-2190,"$1,750 - 3,345",Luna
87,"3060 W Olympic Blvd, Los Angeles, CA 90006",1-2 Bed,213-985-3002,"$2,200 - 3,160",30Sixty
88,"535-547 S Kingsley Dr, Los Angeles, CA 90020",2 Bed,844-295-2270,"$2,990 - 3,595",Maya
89,"2330 N Cahuenga Blvd, Los Angeles, CA 90068",1-2 Bed,855-346-0907,"$1,895 - 2,950",The Hillpointe Luxury Apartments
90,"905 Wilcox Ave, Los Angeles, CA 90038",2 Bed,747-233-4550,"$3,695 - 3,995",905 Wilcox Avenue
91,"6200 Hollywood Blvd, Los Angeles, CA 90028",Studio,844-674-4298,Call for Rent,El Centro Apartments & Bungalows
92,"4136-4140 Grand View Blvd, Los Angeles, CA 90066",Studio - 1 Bed,844-206-8095,"$1,795 - 2,225",Grand View Apartments
93,"1515 Wilshire Blvd, Los Angeles, CA 90017",Studio - 2 Bed,844-288-1270,"$2,100 - 3,150",Wilshire Valencia
94,"770 S Grand Ave, Los Angeles, CA 90014",Studio - 3 Bed,888-860-7414,"$2,047 - 6,022",8th & Grand
95,"801 S Olive St, Los Angeles, CA 90014",Studio - 3 Bed,888-860-9563,"$2,482 - 14,435",Atelier
96,"8655 Belford Ave, Los Angeles, CA 90045",1-3 Bed,844-256-5962,"$1,940 - 4,572",Madrid
97,"411 S Main St, Los Angeles, CA 90013",Studio,844-451-3752,Call for Rent,Hellman Building
98,"1010 Wilshire Blvd, Los Angeles, CA 90017",Studio - 3 Bed,877-280-6446,"$3,119 - 9,431",TENTEN WILSHIRE - All Inclusive Living
99,"327 N Boylston St, Los Angeles, CA 90012",Studio - 2 Bed,424-269-6177,"$2,045 - 3,690",EastView Apartments
100,"1230 S Olive St, Los Angeles, CA 90015",Studio - 3 Bed,844-864-0368,"$2,080 - 6,250",WREN
101,"453 S Kenmore Ave, Los Angeles, CA 90020",Studio - 2 Bed,949-264-8181,Call for Rent,The Rhys
102,"422 S Lake St, Los Angeles, CA 90057",2 Bed,213-481-6179,"$2,425",422SOUTHLAKE
103,"8500 Burton Way, Los Angeles, CA 90048",1-2 Bed,844-203-9686,"$6,000 - 40,000",8500 Burton
104,"14000 Palawan Way, Marina del Rey, CA 90292",Studio - 3 Bed,844-756-0649,"$3,210 - 8,791",Wayfarer® Apartments + Marina
105,"300 N Central Ave, Glendale, CA 91203",1-3 Bed,818-638-9694,"$2,995 - 4,350",Legendary Glendale
106,"1600 Vine St, Hollywood, CA 90028",Studio - 3 Bed,877-521-8740,"$2,212 - 25,342",1600 VINE
107,"4600 Via Marina, Marina del Rey, CA 90292",Studio - 3 Bed,866-705-6147,"$2,151 - 4,089",Mariners Village
108,"4500 Via Marina, Marina Del Rey, CA 90292",Studio - 3 Bed,866-600-2635,"$3,025 - 4,200",The Tides At Marina Harbor
109,"13900 Marquesas Way, Marina del Rey, CA 90292",Studio - 4 Bed,310-776-9054,"$2,917 - 10,000",Esprit Apartments
110,"9901 Washington Blvd, Culver City, CA 90232",1-3 Bed,844-472-9845,"$3,162 - 5,100",Harlow Culver City
111,"12760 W Millennium Dr, Playa Vista, CA 90094",Studio - 2 Bed,844-850-2169,"$3,057 - 13,961",Runway at Playa Vista
112,"2200 Colorado Ave, Santa Monica, CA 90404",1-3 Bed,949-769-2483,"$3,072 - 20,784",AO Santa Monica
113,"5440 Tujunga Ave, North Hollywood, CA 91601",1-3 Bed,818-471-4866,"$2,510 - 5,840",NoHo 14
114,"11059 McCormick St, North Hollywood, CA 91601",Studio - 3 Bed,888-649-1675,"$1,920 - 4,095",Living at NoHo
115,"4108 Del Rey Ave, Marina del Rey, CA 90292",1-3 Bed,844-354-4861,Call for Rent,Tribeca Urban
116,"4735 Sepulveda Blvd, Sherman Oaks, CA 91403",1-2 Bed,844-511-8999,"$1,930 - 4,747",The Grand
117,"4242 Via Marina, Marina del Rey, CA 90292",Studio - 3 Bed,844-449-8693,"$3,275 - 12,260",AMLI Marina Del Rey
118,"6150 Canoga Ave, Woodland Hills, CA 91367",1-2 Bed,844-880-5605,"$1,900 - 5,812",The Pointe at Warner Center
119,"321 N Orange St, Glendale, CA 91203",Studio - 2 Bed,818-334-4597,"$2,116 - 5,125",AMLI Lex on Orange
120,"22219 Summit Vue Ln, Woodland Hills, CA 91367",2-3 Bed,818-935-5619,"$2,399 - 3,345",Summit at Warner Center
121,"4157 Via Marina Via, Marina del Rey, CA 90292",1-2 Bed,855-879-6226,"$2,631 - 4,820",Marina 41
122,"4111 Via Marina, Marina Del Rey, CA 90292",Studio - 2 Bed,855-298-5441,"$1,910 - 3,820",Pearl
123,"6150 De Soto Ave, Woodland Hills, CA 91367",1-3 Bed,818-456-0388,"$1,916 - 3,516",Bella Vista At Warner Ridge
124,"13603 Marina Pointe Dr, Marina Del Rey, CA 90292",Studio - 2 Bed,877-399-7511,"$2,128 - 5,295",The Westerly on Lincoln
125,"3221 Carter Ave, Marina Del Rey, CA 90292",1-3 Bed,866-675-4123,"$2,695 - 8,421",Jefferson at Marina del Rey
126,"4250 Glencoe Ave, Marina Del Rey, CA 90292",1-3 Bed,844-556-3292,"$2,619 - 6,808",Tierra del Rey
127,"10601 Washington Blvd, Culver City, CA 90232",Studio - 2 Bed,844-896-6955,"$3,440 - 5,174",Cobalt
128,"1714 N McCadden Pl, Hollywood, CA 90028",Studio - 2 Bed,323-472-5315,"$2,199 - 5,749",Alaya Hollywood
129,"6250 Canoga Ave, Woodland Hills, CA 91367",1-3 Bed,424-652-5272,"$1,884 - 3,144",Triana Apartments
130,"1737 Las Palmas Ave, Hollywood, CA 90028",Studio - 2 Bed,844-211-8474,"$2,175 - 5,995",The Line Lofts
131,"546 W Colorado St, Glendale, CA 91204",Studio - 2 Bed,844-310-5642,"$2,119 - 5,364",Brio Apartment Homes and Villas
132,"13900 Panay Way, Marina Del Rey, CA 90292",Studio - 3 Bed,844-301-0642,Call for Rent,Dolphin Marina Apartments
133,"5700 Sepulveda Blvd, Sherman Oaks, CA 91411",1-2 Bed,747-208-0177,"$2,390 - 2,755",IMT 5700
134,"12665 Village Ln, Playa Vista, CA 90094",1-2 Bed,844-851-4705,"$3,235 - 6,195",Villas at Playa Vista - Malibu
135,"12411 Fielding Circle Dr, Playa Vista, CA 90094",1-2 Bed,424-500-8577,"$2,980 - 5,715",Villas at Playa Vista - Sausalito
136,"12855 Runway Rd, Playa Vista, CA 90094",1-2 Bed,844-537-9207,"$3,660 - 7,925",Villas at Playa Vista - Montecito
137,"9830 Reseda Blvd, Northridge, CA 91324",Studio - 2 Bed,747-202-9784,"$1,625 - 2,795",Candlewood North
138,"5807 Topanga Canyon Blvd, Woodland Hills, CA 91367",1-3 Bed,844-283-8874,"$1,965 - 3,015",Warner Villa
139,"13401 Riverside Dr, Sherman Oaks, CA 91423",1-3 Bed,818-287-6322,"$2,080 - 3,415",Chase Knolls
140,"11622 Aviation Blvd, Inglewood, CA 90304",Studio - 2 Bed,858-291-1066,"$2,508 - 4,616",Bell South Bay
141,"21021 Erwin St, Woodland Hills, CA 91367",1-3 Bed,844-608-2680,"$2,135 - 5,670",Motif
142,"400 N Central Ave, Glendale, CA 91203",Studio - 2 Bed,877-671-2607,"$2,235 - 3,550",Next on Lex
143,"20310 W Sorrento Ln, Porter Ranch, CA 91326",1-3 Bed,818-935-5611,"$2,170 - 6,894",Sonoma at Porter Ranch
144,"11415 Porter Ranch Dr, Porter Ranch, CA 91326",Studio - 2 Bed,818-581-2593,"$1,779 - 2,416",Tesoro at Porter Ranch
145,"22100 Erwin St, Woodland Hills, CA 91367",Studio - 3 Bed,818-855-7521,"$1,821 - 3,199",The Reserve at Warner Center
146,"220 San Vicente Blvd, Santa Monica, CA 90402",1 Bed,844-721-1940,"$3,850 - 4,895",San Vicente Tower
147,"4201 Via Marina, Marina del Rey, CA 90292",1-2 Bed,310-776-9552,"$3,095 - 4,940",Shores
148,"7121 Woodley Ave, Van Nuys, CA 91406",1-2 Bed,844-478-8407,"$2,100 - 3,490",Woodley Sara Apartments
149,"1500 W Pacific Coast Hwy, Wilmington, CA 90744",1-3 Bed,844-287-1240,"$2,055 - 3,980",Solimar Luxury Villas
150,"4170 Admiralty Way, Marina Del Rey, CA 90292",1-2 Bed,844-277-2986,"$3,975 - 5,990",The Admiralty
151,"13999 Marquesas Way, Marina del Rey, CA 90292",1-2 Bed,818-465-9636,"$2,695 - 4,700",Villa del Mar Apartments & Marina
152,"13900 Tahiti Way, Marina del Rey, CA 90292",1-3 Bed,844-704-6079,"$4,500 - 6,800",Waves MDR
153,"10979 Bluffside Dr, Studio City, CA 91604",Studio - 3 Bed,855-690-3816,"$1,831 - 3,381",AVA Studio City
154,"3600 Barham Blvd, Hollywood, CA 90068",Studio - 2 Bed,844-365-3378,"$1,665 - 3,200",AVA Toluca Hills
155,"2000 Main St, Santa Monica, CA 90405",Studio - 3 Bed,844-289-6530,"$3,565 - 5,758",Avalon Santa Monica on Main
156,"7316 Santa Monica Blvd, West Hollywood, CA 90046",Studio - 3 Bed,844-287-7204,"$2,955 - 5,885",Avalon West Hollywood
157,"20544 Ventura Blvd, Woodland Hills, CA 91364",1-2 Bed,844-465-3030,"$1,935 - 2,545",Avalon Woodland Hills
158,"21050 Vanowen St, Woodland Hills, CA 91303",1-3 Bed,855-384-0987,"$2,020 - 3,040",Avalon Warner Place
159,"22122 Victory Blvd, Woodland Hills, CA 91367",Studio - 2 Bed,877-271-4566,"$1,540 - 2,470",eaves Woodland Hills
160,"14015 W Tahiti Way, Marina Del Rey, CA 90292",1-2 Bed,310-439-9329,"$2,870 - 4,560",Avalon Marina Bay
161,"401 N Pass Ave, Burbank, CA 91505",Studio - 3 Bed,877-594-1148,"$1,760 - 3,025",AVA Burbank
162,"5727 Canoga Ave, Woodland Hills, CA 91367",1-3 Bed,844-310-6706,"$1,829 - 2,250",eaves Warner Center
163,"10945 Bluffside Dr, Studio City, CA 91604",1-2 Bed,855-718-7654,"$2,493 - 3,445",Avalon Studio City
164,"6530 Sepulveda Blvd, Van Nuys, CA 91411",1-2 Bed,818-927-6043,"$1,875 - 2,845",SkyLA
165,"3838 Dunn Dr, Culver City, CA 90232",2 Bed,844-233-2410,"$4,599",3838 by CLG
166,"124 W Colorado St, Glendale, CA 91204",1-3 Bed,855-412-3660,"$2,995 - 5,295",Verdara Glendale
167,"1425 N Crescent Heights, West Hollywood, CA 90046",1-2 Bed,844-210-9135,"$4,250 - 8,250",Element WeHo
168,"8526 International Ave, Canoga Park, CA 91304",2-3 Bed,844-781-9172,"$1,850 - 2,500",International Village Apartments
169,"1480 Vine St, Los Angeles, CA 90028",1-2 Bed,844-406-4110,"$3,600 - 12,500",Instrata Sunset Vine Tower
170,"333 Belmont Ave, Los Angeles, CA 90026",Studio - 3 Bed,844-294-1367,"$1,975 - 4,700",333B -ECHO PARK
171,"930 Figueroa Ter, Los Angeles, CA 90012",1-2 Bed,844-219-1548,"$1,895 - 2,650",Skyline Terrace
172,"612 S Flower St, Los Angeles, CA 90017",Studio - 2 Bed,844-815-3697,"$2,013 - 3,557",Pegasus
173,"680 S Berendo St, Los Angeles, CA 90005",Studio - 2 Bed,844-403-2805,"$1,923 - 3,406",Radius Koreatown
174,"5211 Pacific Concourse Dr, Los Angeles, CA 90045",Studio - 3 Bed,866-830-4369,"$2,208 - 4,396",Pacific Place
175,"138 N Beaudry Ave, Los Angeles, CA 90012",Studio - 3 Bed,877-522-8339,"$1,824 - 4,210",Canvas LA
176,"1000 S Hope St, Los Angeles, CA 90015",Studio - 2 Bed,866-872-2616,"$2,137 - 5,500",Packard Lofts
177,"900 N Broadway, Los Angeles, CA 90012",Studio - 2 Bed,844-265-9154,"$1,743 - 6,325",Blossom Plaza
178,"635 S Hobart Blvd, Los Angeles, CA 90005",Studio - 2 Bed,877-514-9054,"$2,143 - 4,821",Avana on Wilshire
179,"600 S Curson Ave, Los Angeles, CA 90036",1-2 Bed,844-289-5682,"$2,471 - 3,400",Museum Terrace
180,"950 S Flower St, Los Angeles, CA 90015",Studio - 2 Bed,855-543-9014,"$1,708 - 4,766",The Met
181,"417 S Hill St, Los Angeles, CA 90013",Studio - 2 Bed,844-698-1615,"$1,798 - 7,425",Metro 417
182,"467 Arnaz Dr, Los Angeles, CA 90048",1-2 Bed,844-495-0188,"$2,593 - 4,295",IMT Beverly Arnaz
183,"5724 Hollywood Blvd, Los Angeles, CA 90028",1-2 Bed,844-266-2940,"$2,150 - 2,995",Hollywood View Towers
184,"4247 Eagle Rock Blvd, Los Angeles, CA 90065",1-3 Bed,844-819-8082,Call for Rent,The Perch
185,"1950 Tamarind Ave, Los Angeles, CA 90068",1-2 Bed,844-887-8963,"$2,395 - 3,280",Tamarind Terrace
186,"10833 Wilshire Blvd, Los Angeles, CA 90024",1-3 Bed,310-425-3967,"$3,965 - 10,732",Legacy at Westwood Apartments
187,"160 S Virgil Ave, Los Angeles, CA 90004",Studio - 2 Bed,866-460-6358,"$1,827 - 2,149",Aspen Apartments
188,"7230 Franklin Ave, Los Angeles, CA 90046",1-2 Bed,844-289-9607,"$2,295 - 2,795",Franklin Plaza
189,"5837 W Sunset Blvd, Los Angeles, CA 90028",Studio - 2 Bed,877-892-4033,"$2,260 - 3,465",The MetWest
190,"905 E 2nd St, Los Angeles, CA 90012",Studio - 2 Bed,844-445-8702,"$2,076 - 7,033",The Garey Building
191,"939 S Hill St, Los Angeles, CA 90015",Studio - 2 Bed,877-253-6104,"$2,305 - 5,185",South Park by Windsor
192,"445 N Rossmore Ave, Los Angeles, CA 90004",1-2 Bed,866-965-2619,"$2,975 - 5,410",Windsor at Hancock Park
193,"1000 S Grand Ave, Los Angeles, CA 90015",Studio - 2 Bed,844-855-8634,"$2,245 - 5,325",1000 Grand by Windsor
194,"501 W Olympic Blvd, Los Angeles, CA 90015",Studio - 2 Bed,213-599-7233,"$2,185 - 6,815",Renaissance Tower
195,"209 S Westmoreland Ave, Los Angeles, CA 90004",Studio - 2 Bed,213-985-1324,"$1,571 - 5,773",The Chadwick
196,"3425 Motor Ave, Los Angeles, CA 90034",Studio - 1 Bed,323-284-7345,"$2,350 - 2,850",M Lofts
197,"1333 N Curson Ave, Los Angeles, CA 90046",2-3 Bed,323-606-8872,"$3,100 - 4,595",La Fontaine
198,"1249 S Grand Ave, Los Angeles, CA 90015",Studio - 2 Bed,844-503-8885,"$1,800 - 2,350",E on Grand
199,"8500 W Sunset Blvd, Los Angeles, CA 90069",1-2 Bed,844-891-0428,"$5,700 - 12,500",The Apartment Residences at AKA
200,"801 N Fairfax Ave, Los Angeles, CA 90046",1-2 Bed,844-802-9799,"$2,300 - 2,795",801 North
201,"3201 Overland Ave, Los Angeles, CA 90034",Studio - 2 Bed,844-495-9186,"$2,200 - 3,250",Woodcliff
202,"1558 Gordon St, Los Angeles, CA 90028",1-3 Bed,877-700-9205,"$2,415 - 4,100",Vues on Gordon
203,"130 S Sepulveda Blvd, Los Angeles, CA 90049",1-2 Bed,844-811-5197,"$3,290 - 5,780",Villa Bel Air
204,"5700 W 6th St, Los Angeles, CA 90036",1-22 Bed,323-302-9189,"$2,397 - 4,639",Masselin Park West
205,"3324 Castle Heights Ave, Los Angeles, CA 90034",Studio - 2 Bed,888-554-4667,"$2,180 - 3,720",Waterstone at Metro
206,"10983-10983 Wellworth Ave, Los Angeles, CA 90024",1-2 Bed,844-356-1728,"$3,077 - 4,044",The Plaza Apartments
207,"11950 Idaho Ave, Los Angeles, CA 90025",1-3 Bed,844-824-5104,"$3,840 - 7,160",The Adler Apartments
208,"4928 W Martin Luther King Jr Blvd, Los Angeles, CA 90016",1-2 Bed,323-825-4611,"$1,542 - 2,514",Gloria Homes Apartments
209,"7513 Fountain Ave, Los Angeles, CA 90046",Studio - 2 Bed,844-381-7808,"$2,100 - 3,200",Villa Elizabeth
210,"10599 Wilshire Blvd, Los Angeles, CA 90024",1-2 Bed,844-538-7419,"$4,520 - 9,000",Wilshire Margot
211,"2901 S Sepulveda Blvd, Los Angeles, CA 90064",Studio - 1 Bed,844-450-8537,"$1,995 - 2,200",Westwood Villa
212,"1616 N La Brea Ave, Los Angeles, CA 90028",Studio - 1 Bed,844-652-8075,"$2,900",The Lofts on La Brea
213,"334 S Main St, Los Angeles, CA 90013",Studio - 1 Bed,877-383-6370,"$2,125 - 2,696",The Medallion
214,"5959 Franklin Ave, Los Angeles, CA 90028",Studio - 2 Bed,844-528-6530,"$4,700 - 9,210",The Villa Carlotta
215,"3701 Overland Ave, Los Angeles, CA 90034",Studio - 2 Bed,888-655-5276,"$2,000 - 3,350",CentrePointe Apartments
216,"11740 Wilshire Blvd, Los Angeles, CA 90025",Studio - 2 Bed,844-790-0074,"$1,920 - 4,995",Barrington Plaza
