,Address,Beds,Phone,Price,Title
31,"7777 Westside Dr, San Diego, CA 92108",Studio - 3 Bed,844-287-7194,"$1,895 - 4,255",West Park
32,"5395 Napa St, San Diego, CA 92110",1-3 Bed,619-867-0760,"$2,310 - 4,495",Arrive Mission Valley
33,"6850 Mission Gorge Rd, San Diego, CA 92120",1-3 Bed,844-847-4714,"$2,005 - 4,373",Verge
34,"5945 Linda Vista Rd, San Diego, CA 92110",Studio - 3 Bed,619-592-7660,"$2,060 - 4,815",Pacific Ridge
35,"11100 Vista Sorrento Pkwy, San Diego, CA 92130",1-3 Bed,844-414-0026,"$2,275 - 6,205",Torrey Villas Apartment Homes
36,"6555 Ambrosia Dr, San Diego, CA 92124",1-3 Bed,619-659-7086,"$1,935 - 6,135",The Village Mission Valley
37,"5280 Fiore Ter, San Diego, CA 92122",Studio - 3 Bed,866-986-4768,"$1,995 - 6,915",The Villas of Renaissance
38,"1007 5th Ave, San Diego, CA 92101",Studio - 1 Bed,888-406-9535,"$2,102 - 6,860",Broadway Lofts
39,"4392 W Point Loma Blvd, San Diego, CA 92107",1-3 Bed,619-798-7891,"$1,733 - 3,595",Mariners Cove Apartments
40,"3625 Earnscliff Pl, San Diego, CA 92111",1-2 Bed,844-849-4236,"$1,600 - 2,050",Genesee Park ** MOVE IN SPECIALS **
41,"11203 Paseo Montanoso, San Diego, CA 92127",1-2 Bed,888-299-4136,"$1,852 - 2,991",The Villas at Camino Bernardo
42,"3417 Lebon Dr, San Diego, CA 92122",1-2 Bed,888-470-2889,"$1,745 - 2,655",La Jolla International Gardens
43,"2015 Hancock St, San Diego, CA 92110",1-2 Bed,844-211-8469,"$1,875 - 2,390",Loft2015
44,"2395 Cardinal Dr, San Diego, CA 92123",1-2 Bed,619-535-3124,"$1,925 - 2,700",Modernaire Luxury Apartments
45,"2101-2175 Kettner Blvd, San Diego, CA 92101",Studio - 3 Bed,858-859-9011,"$2,160 - 4,260",AV8
46,"600 Front St, San Diego, CA 92101",1-2 Bed,866-204-6507,"$1,820 - 3,700",600 Front Street Apartments
47,"1736 State St, San Diego, CA 92101",Studio,619-317-1623,"$1,075 - 1,340",Vantaggio Suites at San Diego
48,"3131 Cauby St, San Diego, CA 92110",1-2 Bed,844-653-1206,"$1,735 - 2,400",Loma Portal Apartments
49,"8420 Krenz St, San Diego, CA 92123",2-4 Bed,844-600-4824,Call for Rent,The Village at Serra Mesa - Lincoln Military
50,"2225-2295 River Run Dr, San Diego, CA 92108",1-2 Bed,866-567-2337,"$1,793 - 2,306",River Run Village
51,"10878 Poblado Rd, San Diego, CA 92127",1-3 Bed,866-929-5572,"$1,770 - 2,555",La Terraza Apartments
52,"4200 Brooke Ct, San Diego, CA 92122",1-3 Bed,844-873-0394,"$2,840 - 6,890",LUX UTC
53,"9085 Judicial Dr, San Diego, CA 92122",Studio - 3 Bed,877-872-3896,"$1,975 - 4,075",La Jolla Crossroads
54,"9085 Judicial Dr, San Diego, CA 92122",Studio - 3 Bed,844-287-8770,"$1,995 - 4,650",360 Luxury Apartments
55,"3866 Ingraham St, San Diego, CA 92109",Studio - 2 Bed,866-986-5971,"$1,595 - 2,495",Bay Pointe Apartments
56,"11035 Via Livorno, San Diego, CA 92129",1-3 Bed,888-413-9645,"$2,141 - 3,260",Cresta Bella
57,"7149 Navajo Rd, San Diego, CA 92119",1-2 Bed,844-890-8795,"$1,500 - 2,150",Canyon View Apartments
58,"8775 Costa Verde Blvd, San Diego, CA 92122",Studio - 3 Bed,877-336-8851,"$1,975 - 4,550",Towers at Costa Verde
59,"12646 Torrey Bluff Dr, San Diego, CA 92130",1-2 Bed,858-345-4310,"$1,866 - 2,407",Club Torrey Pines
60,"5679 Amaya Dr, La Mesa, CA 91942",1-2 Bed,844-755-7493,"$1,720 - 2,320",eaves La Mesa
61,"5427 Lake Murray Blvd, La Mesa, CA 91942",1-2 Bed,619-333-8652,"$1,809 - 2,739",Adagio
62,"1515 2nd St, Coronado, CA 92118",Studio - 2 Bed,844-802-9303,"$1,725 - 5,631",Broadstone Coronado on the Bay
63,"309 N Solana Hills Dr, Solana Beach, CA 92075",Studio - 2 Bed,888-854-3007,"$1,950 - 3,000",Solana Mar Apartments
64,"12435 Heatherton Ct, San Diego, CA 92128",1-2 Bed,866-907-0200,"$1,835 - 2,320",Ridgewood Village
65,"12629 El Camino Real, San Diego, CA 92130",1-3 Bed,877-592-8707,"$2,150 - 2,960",Del Mar Ridge
66,"699 14th St, San Diego, CA 92101",Studio - 2 Bed,855-514-2994,"$1,880 - 2,605",Market Street Village
67,"8798 Spectrum Center Blvd, San Diego, CA 92123",Studio - 2 Bed,844-345-0179,"$1,897 - 3,264",Domain San Diego
68,"2930 Barnard St, San Diego, CA 92110",1-3 Bed,844-875-7942,"$2,450 - 6,143",Dylan Point Loma
69,"5550 Genesee Ct, San Diego, CA 92111",1 Bed,858-309-5485,"$1,358 - 1,533",Park Genesee
70,"606 3rd Ave, San Diego, CA 92101",Studio - 2 Bed,866-476-9860,"$1,591 - 2,418",Market Street Square
71,"4103-4125 54th Pl, San Diego, CA 92105",1-2 Bed,844-822-7355,"$1,400 - 1,715",Parkview Terrace
72,"1471 8th Ave, San Diego, CA 92101",1-2 Bed,844-311-1277,"$1,847 - 5,000",The Heritage
73,"2905 Clairemont Dr, San Diego, CA 92117",1-2 Bed,844-885-9625,"$1,800 - 2,350",Villa Pacific Apartments
74,"450 10th Ave, San Diego, CA 92101",Studio - 2 Bed,844-881-6255,"$1,985 - 3,890",Urbana East Village Rental Flats
75,"11102 Caminito Alvarez, San Diego, CA 92126",Studio - 2 Bed,888-339-3820,"$1,865 - 2,510",IMT Sorrento Valley
76,"840 17th St, San Diego, CA 92101",1-2 Bed,844-215-1824,"$1,730 - 2,210",City View
77,"3801-3811 Marquette Pl, San Diego, CA 92106",1-2 Bed,888-341-8040,"$1,816 - 3,291",Gables Point Loma
78,"6975 Golfcrest Dr, San Diego, CA 92119",1-2 Bed,619-597-7153,"$1,663 - 3,932",Mission Trails Apartments San Diego
79,"4021 Falcon St, San Diego, CA 92103",1-2 Bed,844-520-0607,"$2,690 - 2,800",Mission Hills Commons
80,"10785 Pomerado Rd, San Diego, CA 92131",1-3 Bed,858-312-7669,"$2,016 - 2,980",Ascent at Campus of Life
81,"4855 Ariva Way, San Diego, CA 92123",Studio - 2 Bed,844-310-5065,"$2,090 - 4,034",Ariva Apartments
82,"1440 Hotel Cir N, San Diego, CA 92108",1-3 Bed,844-695-1431,"$1,860 - 5,916",Presidio View
83,"3950 Mahaila Ave, San Diego, CA 92122",1-2 Bed,844-250-5707,"$1,955 - 4,845",Axiom La Jolla
84,"9870 Mercy Rd, San Diego, CA 92129",2-3 Bed,844-376-8412,"$2,287 - 3,746",Sofi Canyon Hills
85,"8811 Spectrum Center Blvd, San Diego, CA 92123",1-2 Bed,858-633-8832,"$1,753 - 3,097",Avion At Spectrum
86,"2242-2282 Gill Village Way, San Diego, CA 92108",1-3 Bed,855-317-3099,"$1,852 - 3,660",The Missions at Rio Vista
87,"15605-15677 Avenida Alcachofa, San Diego, CA 92128",1-2 Bed,442-281-8394,"$2,315 - 2,360",La Serena
88,"9320-9370 Hillery Dr, San Diego, CA 92126",1-3 Bed,858-568-7521,"$1,776 - 3,116",Legacy Apartment Homes
89,"1767 Oro Vista Rd, San Diego, CA 92154",2 Bed,619-870-0623,"$1,558 - 2,284",Oro Vista Villas
90,"3707-3737 Nobel Dr, San Diego, CA 92122",1-2 Bed,888-721-8979,"$1,751 - 4,034",Nobel Court
91,"2132-2172 Garston St, San Diego, CA 92111",2-3 Bed,844-672-3748,Call for Rent,Crandall Apartments
92,"707 10th Ave, San Diego, CA 92101",Studio - 2 Bed,844-205-4785,"$1,650 - 6,538",10th & G
93,"655-695 6th Ave, San Diego, CA 92101",Studio - 3 Bed,855-868-0886,"$1,855 - 4,203",Sixth&G
94,"677 7th Ave, San Diego, CA 92101",Studio - 2 Bed,844-881-1349,"$1,895 - 5,741",7th & G
95,"2420 Cardinal Dr, San Diego, CA 92123",Studio - 2 Bed,844-423-3775,"$1,425 - 2,185",The Modernaire Apartments
96,"7800 Westside Dr, San Diego, CA 92108",1-3 Bed,866-792-3478,"$2,260 - 3,772",Circa 37 Apartments
97,"435 13th St, San Diego, CA 92101",Studio,866-706-0787,"$1,894 - 2,324",The Studios Luxury Micro-Apartments
98,"2799 ADRIAN St, SAN DIEGO, CA 92110",2-3 Bed,888-898-4504,"$2,000 - 4,145",Loma Palisades
99,"10615 Calle Mar de Mariposa, San Diego, CA 92130",1-3 Bed,858-997-1667,"$2,375 - 3,650",Torrey Gardens
100,"8720 Costa Verde Blvd, San Diego, CA 92122",Studio - 3 Bed,844-208-8967,"$1,900 - 3,875",Costa Verde Village
101,"3309 Cowley Way, San Diego, CA 92117",1-2 Bed,877-308-6019,"$1,619 - 1,943",Coral Bay Apartments
102,"4454 N 44th St, San Diego, CA 92115",1-3 Bed,844-215-1553,"$1,560 - 2,660",Mission Pacific
103,"5410 Repecho Dr, San Diego, CA 92124",1-2 Bed,844-215-1380,"$1,785 - 2,310",Tierrasanta Ridge
104,"5925 El Cajon Blvd, San Diego, CA 92115",2 Bed,619-433-6585,"$1,895",Campus Village
105,"2500 Northside Dr, San Diego, CA 92108",1-3 Bed,844-256-5067,"$2,060 - 3,330",Portofino Apartment Homes
106,"819 University Ave, San Diego, CA 92103",Studio,619-333-2836,"$1,000 - 1,270",Vantaggio Suites Hillcrest
107,"8465 Regents Rd, San Diego, CA 92122",1-2 Bed,844-271-8353,"$2,143 - 3,418",Regents Court
108,"5777 Mission Center Rd, San Diego, CA 92108",1-3 Bed,844-217-1183,"$2,245 - 3,495",Aquatera
109,"5802 University Ave, San Diego, CA 92115",2 Bed,844-288-9218,"$1,565",Lantana Hills
110,"7707 Mission Gorge Rd, San Diego, CA 92120",Studio - 2 Bed,844-857-7885,"$1,455 - 1,980",Terra at Mission Trails
111,"3820-3860 Pendiente Ct, San Diego, CA 92124",1-2 Bed,866-834-5800,"$1,795 - 2,225",El Dorado Hills
112,"6867 Golfcrest Dr, San Diego, CA 92119",1-2 Bed,844-641-3047,"$1,600 - 2,045",Vue at Lake Murray
113,"9800 Mira Lee Way, San Diego, CA 92126",1-3 Bed,877-438-7119,"$1,850 - 3,625",Casa Mira View
114,"9494 Carroll Canyon Rd, San Diego, CA 92126",1-3 Bed,844-214-4687,"$1,300 - 1,875",Carroll Apartments
115,"15095 Via Hondonada, San Diego, CA 92129",2-3 Bed,760-300-3255,"$1,884 - 2,900",The Hills
116,"7655-7689 Palmilla Dr, San Diego, CA 92122",1-3 Bed,866-459-5156,"$2,075 - 3,750",La Regencia
117,"9253 Regents Rd, La Jolla, CA 92037",1-2 Bed,855-406-0163,"$2,400 - 3,962",Regents La Jolla
118,"13608 Pomerado Rd, Poway, CA 92064",Studio - 3 Bed,619-828-0208,"$1,550 - 2,195",Parkview Village Apartments
119,"5575 Shasta Ln, La Mesa, CA 91942",1-2 Bed,844-217-6157,"$1,430 - 1,530",Casa De La Mesa
120,"7400 Parkway Dr, La Mesa, CA 91942",1-3 Bed,844-292-6856,"$1,649 - 2,119",The Cove La Mesa
121,"1486 Broadway, Chula Vista, CA 91911",1-2 Bed,844-214-5600,"$1,602 - 2,204",Country Apartments
122,"8707-8747 Fletcher Pky, La Mesa, CA 91942",1-2 Bed,888-353-1471,"$1,880 - 3,289",Alterra & Pravada at Grossmont Trolley Apa...
123,"3875 Main St, Chula Vista, CA 91911",1-2 Bed,844-735-2315,"$1,945 - 2,395",LaTerra Select Stone Creek
124,"7084-7148 Friars Rd, San Diego, CA 92108",1-3 Bed,844-857-1678,"$2,130 - 3,305",Avalon Fashion Valley
125,"2745 Meadowlark Dr, San Diego, CA 92123",1-3 Bed,866-212-4145,"$1,715 - 2,645",eaves Mission Ridge
126,"1450 Market St, San Diego, CA 92101",Studio - 3 Bed,844-324-4339,"$1,723 - 3,658",Form 15
127,"10201 Camino Ruiz, San Diego, CA 92126",1-2 Bed,844-323-4167,"$1,598 - 1,990",Esplanade
128,"5265 Clairemont Mesa Blvd, San Diego, CA 92117",Studio,844-310-8542,"$1,427 - 1,472",Mesa Village
129,"11012 Camino Playa Carmel, San Diego, CA 92124",1-2 Bed,888-864-5525,"$1,767 - 2,398",Montanosa
130,"8563 Lake Murray Blvd, San Diego, CA 92119",1-2 Bed,844-323-4554,"$1,482 - 1,749",Summit Park Village
131,"10360 Maya Linda Rd, San Diego, CA 92126",Studio - 2 Bed,844-630-1730,"$1,544 - 1,959",Mira Monte
132,"3394 Daley Center Dr, San Diego, CA 92123",1-3 Bed,844-813-1458,"$1,872 - 2,660",Cambridge Park
133,"11724 Carmel Creek Rd, San Diego, CA 92130",1-3 Bed,844-784-3398,"$2,260 - 3,198",Carmel Creek
134,"10776-10776 Scripps Ranch Blvd, San Diego, CA 92131",1-3 Bed,844-702-1022,"$1,923 - 3,087",Allure at Scripps Ranch
135,"11820 Paseo Lucido, San Diego, CA 92128",1-3 Bed,844-823-6463,"$1,766 - 2,416",Bernardo Crest
136,"11795 Stoney Peak Dr, San Diego, CA 92128",1-2 Bed,844-830-6046,"$1,975 - 2,497",Carmel Summit
137,"11505 Windcrest Ln, San Diego, CA 92128",1-2 Bed,844-323-4054,"$1,816 - 2,246",Carmel Landing
138,"13138 Kellam Ct, San Diego, CA 92130",1-2 Bed,844-281-4583,"$1,985 - 2,650",The Village at Del Mar Heights
139,"3187 Cowley Way, San Diego, CA 92117",1-2 Bed,844-821-2264,"$1,785 - 2,195",Canyon Ridge
140,"15640 Bernardo Center Dr, San Diego, CA 92127",2-3 Bed,844-214-4707,"$2,275 - 2,650",Deerwood
141,"11540 Windcrest Ln, San Diego, CA 92128",1-2 Bed,760-670-4998,"$1,910 - 2,300",Carmel Terrace
142,"9904 Kika Ct, San Diego, CA 92129",1-3 Bed,844-724-0714,"$2,135 - 2,940",Montierra
143,"3700 10th Ave, San Diego, CA 92103",Studio - 2 Bed,619-870-0629,"$1,650 - 2,650",Park View Hillcrest
144,"111 W Pennsylvania Ave, San Diego, CA 92103",Studio - 2 Bed,844-864-0401,"$1,600 - 2,325",Park East Apartments
145,"7901-7921 Harmarsh St, San Diego, CA 92123",2-3 Bed,619-752-3576,"$1,895 - 2,618",Agave Ridge Townhomes
146,"1553--1715 Oro Vista Rd, San Diego, CA 92154",1-3 Bed,844-814-2442,"$1,321 - 2,091",Summerbrook
147,"1670 Kettner Blvd, San Diego, CA 92101",Studio - 3 Bed,844-518-7426,"$2,139 - 4,089",Camden Tuscany
148,"9909-10079 Rio San Diego Dr, San Diego, CA 92108",1-2 Bed,877-653-8560,"$1,895 - 2,645",Club River Run
149,"6263 Acorn St, San Diego, CA 92115",1-2 Bed,619-817-8518,"$1,335 - 1,865",Dorado Plaza Apartments
150,"2978 Worden St, San Diego, CA 92110",2 Bed,844-692-9094,"$3,050 - 4,145",Loma 21
151,"6888 Friars Rd, San Diego, CA 92108",1-2 Bed,844-214-5791,"$1,850 - 2,475",Fashion Terrace
152,"7104-7194 Schilling Ave, San Diego, CA 92126",1-2 Bed,877-418-6705,"$2,110 - 2,145",Westbrook Apartments
153,"801 A St, San Diego, CA 92101",Studio - 2 Bed,844-748-4542,"$1,736 - 4,909",The Rey
154,"2185 Station Village Way, San Diego, CA 92108",1-2 Bed,866-720-4654,"$1,819 - 3,004",The Promenade Rio Vista
155,"10343 San Diego Mission Rd, San Diego, CA 92108",1-2 Bed,619-798-7758,"$1,562 - 2,594",Bella Posta
156,"3950-3950 Leland St, San Diego, CA 92106",1-2 Bed,844-295-0793,"$1,930 - 2,550",The Summit at Point Loma
157,"4641-4677 Home Ave, San Diego, CA 92105",2 Bed,844-876-2806,Call for Rent,Ridge at San Diego
158,"7240 El Cajon Blvd, San Diego, CA 92115",Studio - 2 Bed,844-565-3160,Call for Rent,Solstice Apartment Homes
159,"7568 Charmant Dr, San Diego, CA 92122",1-2 Bed,858-935-7909,"$1,862 - 4,405",Mirada at La Jolla Colony Apartments
160,"11600 Compass Point Dr N, San Diego, CA 92126",2-3 Bed,858-746-7390,"$2,220 - 9,711",Sofi Highlands
161,"11355 Zapata Ave, San Diego, CA 92126",1-2 Bed,844-672-5975,"$1,745 - 2,230",Mesa Village Apartments
162,"2040 Columbia St, San Diego, CA 92101",Studio - 2 Bed,844-303-6848,"$1,732 - 3,243",Il Palazzo
163,"9812-9946 Reagan Rd, San Diego, CA 92126",1-2 Bed,844-812-3384,"$1,899 - 2,729",Esprit Villas
164,"768 Hollister St, San Diego, CA 92154",1-2 Bed,619-894-8573,"$1,587 - 2,101",Pacific Point
165,"5540 Ocean Gate Ln, San Diego, CA 92154",1-4 Bed,888-432-5104,"$1,754 - 3,127",Greenfield Village
166,"3833-3889 Midway Dr, San Diego, CA 92110",1-3 Bed,858-244-9198,"$1,593 - 4,702",Stonewood Gardens
167,"10802-B Camino Ruiz, San Diego, CA 92126",1-2 Bed,855-536-0185,"$1,660 - 2,844",The Casas
168,"5155-5158 Luigi Ter, San Diego, CA 92122",1-2 Bed,844-889-1154,"$1,725 - 1,940",La Jolla Park West
169,"10500 W Ocean Air Dr, San Diego, CA 92130",1-3 Bed,844-675-4384,"$2,850 - 3,675",Ocean Air
170,"13006 Signature Point Pt, San Diego, CA 92130",2-3 Bed,858-240-5651,"$2,943 - 5,715",Signature Point
171,"3288 5th Ave, San Diego, CA 92103",Studio - 2 Bed,619-387-7840,"$2,700 - 5,730",Broadstone Balboa Park
172,"688 13th St, San Diego, CA 92101",Studio - 2 Bed,844-771-6087,"$1,705 - 7,124",EV Lofts
173,"9505 Gold Coast Dr, San Diego, CA 92126",1-2 Bed,844-257-1221,"$1,608 - 2,228",Hourglass Park
174,"11026 W Ocean Air Dr, San Diego, CA 92130",1-3 Bed,877-703-2627,"$2,295 - 5,515",Torrey Hills Apartment Homes
175,"2507 Northside Dr, San Diego, CA 92108",1-3 Bed,866-477-7135,"$1,955 - 5,685",Monte Vista Apartment Homes
176,"820 W G St, San Diego, CA 92101",Studio - 2 Bed,844-657-5563,"$1,770 - 4,350",Harborview Apartments Homes
177,"4695 Torrey Cir, San Diego, CA 92130",1-3 Bed,855-721-4065,"$2,195 - 6,000",Torrey Ridge Apartment Homes
178,"3535 Lebon Dr, San Diego, CA 92122",1-2 Bed,844-813-6511,"$2,325 - 5,870",La Jolla Palms Apartment Homes
179,"7936 Avenida Navidad, San Diego, CA 92122",1-2 Bed,877-460-3917,"$2,085 - 4,655",Westwood Apartment Homes
180,"2643 W Canyon Ave, San Diego, CA 92123",1-3 Bed,858-633-0438,"$1,925 - 5,890",Arcadia at Stonecrest Village
181,"2835 Alta View Dr, San Diego, CA 92139",2 Bed,619-376-6849,"$1,700 - 1,800",North Bonita Racquet Club Apts.
182,"1394 Oro Vista Rd, San Diego, CA 92154",2 Bed,844-673-0219,"$1,895",Valley Breeze Apartments
183,"3635-3675 College Ave, San Diego, CA 92115",1 Bed,844-274-8447,"$1,430 - 1,539",Willow Glen Apartments
184,"710-790 Camino De La Reina, San Diego, CA 92108",2 Bed,619-780-3560,"$2,375 - 2,650",River Front
185,"9585 Gold Coast Dr, San Diego, CA 92126",1-2 Bed,844-548-2609,"$1,650 - 2,000",Gold Coast Apartments
186,"6623-6663 Montezuma Rd, San Diego, CA 92115",1 Bed,844-340-8545,"$1,347 - 1,372",Aztec Pacific
187,"550 W Date St, San Diego, CA 92101",Studio - 2 Bed,855-520-6014,"$2,420 - 8,825",Vici
188,"4340 Moraga Ave, San Diego, CA 92117",1-2 Bed,844-837-2889,"$1,400 - 2,100",Bayview Apartments
189,"4580 Zion Ave, San Diego, CA 92120",1 Bed,844-869-3015,"$1,550",Mission Knolls
190,"9515 Genesee Ave, San Diego, CA 92121",1-2 Bed,844-207-9598,"$1,650 - 2,425",La Jolla Canyon
191,"12760 Rancho Penasquitos Blvd, San Diego, CA 92129",1 Bed,866-847-8093,"$1,673",Penasquitos Point
192,"3235-3265 Armstrong St, San Diego, CA 92111",1-2 Bed,844-214-4780,"$1,450 - 1,800",Riviera de Ville
193,"1014 Fifth Ave, San Diego, CA 92101",Studio,844-898-9055,"$1,935 - 2,125",Viridian Lofts
194,"7717 Linda Vista Rd, San Diego, CA 92111",Studio - 1 Bed,844-312-0446,"$1,340 - 1,570",Mesa Palms Apartments
195,"6150 El Cajon Blvd, San Diego, CA 92115",1-2 Bed,619-780-3749,"$1,315 - 1,650",The Plaza
196,"4070 Huerfano Ave, San Diego, CA 92117",Studio - 2 Bed,858-568-7502,"$1,300 - 2,100",Pacific Bay Club
197,"3730 Southview Dr, San Diego, CA 92117",1-2 Bed,858-952-1768,"$1,495 - 2,220",Villa Monair Apartments
198,"6621 Montezuma Rd, San Diego, CA 92115",1-2 Bed,619-780-3790,"$1,395 - 1,790",The Diplomat
199,"5650 Hardy Ave, San Diego, CA 92115",3 Bed,619-399-3809,"$2,560 - 2,665",Aztec Campus Apartments
200,"5691 Montezuma Rd, San Diego, CA 92115",1-3 Bed,619-352-0970,"$1,415 - 3,185",College Campanile
201,"6560 Montezuma Rd, San Diego, CA 92115",1-2 Bed,619-568-6870,"$1,325 - 1,900",Penthouse Apartments
202,"6595 Montezuma Rd, San Diego, CA 92115",1-2 Bed,619-433-6633,"$1,300 - 1,855",The Dorchester Apartments
203,"5584 Hardy Ave, San Diego, CA 92115",2-3 Bed,619-352-0843,"$1,995 - 2,550",Hardy Avenue Apartments
204,"4179 3rd Ave, San Diego, CA 92103",1-2 Bed,844-821-3191,Call for Rent,Montecito Point
205,"3710-3810 Wabash Ave, San Diego, CA 92104",1-2 Bed,619-550-4301,"$1,650 - 1,785",Asana at North Park
206,"6650 Linda Vista Rd, San Diego, CA 92111",2 Bed,844-867-2990,"$1,825",Villa Vista
207,"4820 Clairemont Mesa Blvd, San Diego, CA 92117",1-2 Bed,844-653-3049,"$1,524 - 1,825",Diane Apartments
208,"4019-4027 Oakcrest Dr, San Diego, CA 92105",Studio - 2 Bed,844-552-4010,"$1,150 - 1,729",Oakcrest Apartments
209,"9865-9895 Erma Rd, San Diego, CA 92131",1-2 Bed,866-954-9912,"$2,125 - 2,925",Solterra EcoLuxury Apartments
210,"10411 Reserve Dr, San Diego, CA 92127",1-3 Bed,866-674-7840,Call for Rent,ZZThe Reserve at 4S Ranch
211,"5025 Collwood Blvd, San Diego, CA 92115",Studio - 4 Bed,619-780-3829,"$675 - 1,450",Fifty Twenty Five
212,"13130 Rancho Penasquitos Blvd, San Diego, CA 92129",2-3 Bed,844-875-5585,"$1,750 - 2,100",Rancho Villas
213,"2636 Grand Ave, San Diego, CA 92109",1-2 Bed,844-874-3628,"$1,815 - 2,635",The Pacific at Mission Bay
214,"2850 Adrian St, San Diego, CA 92110",1 Bed,844-689-4831,"$1,550 - 1,600",Pacific Breeze Apartments
215,"5060 La Jolla Blvd, San Diego, CA 92109",1-3 Bed,844-733-4014,"$2,200 - 3,600",Casas By The Sea
216,"4850 Talmadge Park Row, San Diego, CA 92115",2-3 Bed,888-845-9342,"$1,650 - 2,450",Talmadge Canyon Park
217,"9646-9680 Carroll Canyon Rd, San Diego, CA 92126",Studio - 2 Bed,844-592-6009,"$1,370 - 1,850",Maya Linda
218,"4981 Catoctin Dr, San Diego, CA 92115",1 Bed,866-687-8564,"$1,350",Corinthian Apartments
219,"5145-5165 Cedarwood Rd, Bonita, CA 91902",1-3 Bed,844-847-7800,"$1,932 - 2,022",Bonita Cedars
220,"3262 College Pl, Lemon Grove, CA 91945",1-2 Bed,619-259-5434,"$1,565 - 2,085",Hillside Terrace
221,"873-877 Stevens Ave, Solana Beach, CA 92075",Studio - 2 Bed,844-816-8746,"$2,055 - 2,530",Ocean Crest
222,"5150 Baltimore Dr, La Mesa, CA 91942",1-2 Bed,619-780-3168,"$1,762 - 2,541",FiftyOne Baltimore at The Crossroads
